conversation_id,customer_message,true_intent,actual_brand_reply,expected_escalation,quality_notes
372903,@AppleSupport They don’t upload on MacBook Air and don’t show as uploaded on iPhone,software_bug_report,We'd be glad to look into this for you. Which device are you noticing this on?,auto,LLM-labelled (confidence=0.92); needs human verification
1149973,@AppleSupport There are occasions when my screen won’t recognize touch. Have 2 close the screen and reopen main screen several times before it will work.,hardware_defect,We'll be happy to look into what's going on. What's happening?,auto,LLM-labelled (confidence=0.95); needs human verification
637440,@AppleSupport I tried to get a call two times already and didn't receive that call :/,support_experience,You can find our number for Brazil Apple Support here: [URL],auto,LLM-labelled (confidence=0.95); needs human verification
915179,@AppleSupport iPhone 6+ with iOS 11.0.3,other,We're here for you. What iOS iPhone model are you using and which iOS version is it running?[URL],auto,LLM-labelled (confidence=0.95); needs human verification
1691889,.@AppleSupport i cant access my icloud tabs that are on my mac via my iphone? i have turned them on and off and even checked for updates?,connectivity_and_network,Thanks for trying that. Send us a DM with your iOS &amp; macOS versions &amp; we'll go from there. [URL],auto,LLM-labelled (confidence=0.92); needs human verification
2012063,@AppleSupport …I am well known to terminal commands. Any help is welcome. Thanks in advance 😊,other,Let's work together in DM. You can use this link to get started. [URL],auto,LLM-labelled (confidence=0.95); needs human verification
751735,@AppleSupport 11.0.2 [URL],other,You've got it. We are always happy to help. Keep us posted.,auto,LLM-labelled (confidence=0.95); needs human verification
35977,@AppleSupport Your customer support already confirmed you won’t do anything unless I pay ransom fee after sending Apple Watch 2 you. Throwing it in bin,general_complaint,We'd like to look into this with you. DM us which model and size Watch you have and the country you're in. We'll go from there. [URL],auto,LLM-labelled (confidence=0.92); needs human verification
1679273,"@AppleSupport why my phone tho, i️ just don’t get it",other,"Thank you for trying that. We'd like to look at your device further, please DM us: [URL]",auto,LLM-labelled (confidence=0.95); needs human verification
1709265,@AppleSupport I also added restrictions and removed the fingerprint lol,other,This article goes over Guided Access: [URL] Reach out to iTunes Store Support here: [URL],auto,LLM-labelled (confidence=0.90); needs human verification
